CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2011-05-01 00:00,70.48,4,,900
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2011-06-01 00:00,53.22,4,EST. OTROS METODOS,900
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2011-07-01 00:00,37.45,4,EST. OTROS METODOS,900
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2011-08-01 00:00,36.22,4,EST. OTROS METODOS,900
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2011-09-01 00:00,39.76,4,EST. OTROS METODOS,900
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2011-10-01 00:00,80.52,4,EST. OTROS METODOS,900
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2011-11-01 00:00,101.3,4,EST. OTROS METODOS,900
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2011-12-01 00:00,118.4,4,EST. OTROS METODOS,900
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2012-01-01 00:00,36.83,4,EST. OTROS METODOS,900
11117010,ANIL EL [11117010],6.8738888890,-76.14958333,650,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Uramita,15/03/1972 00:00,,CAUDAL,Q_MEDIA_M,Caudal medio mensual,Mensual,2012-02-01 00:00,24.46,50,,900
